,Step,progressing_init_count,hold_stage1_count,progressing_stage1_count,hold_stage2_count,progressing_stage2_count,hold_stage21_count,progressing_stage21_count,hold_stage211_count,progressing_stage211_count,hold_stage22_count,progressing_stage22_count,hold_stage23_count,progressing_stage23_count,hold_stage231_count,progressing_stage231_count,hold_stage3_count,progressing_stage3_count,hold_stage31_count,progressing_stage31_count,hold_stage32_count,progressing_stage32_count,hold_stage33_count,progressing_stage33_count,complete_restream_count,complete_training_pathway2_complete_count,complete_training_pathway3_complete_count,left_stage1_count,left_stage2_count,left_stage22_count,left_stage23_count,left_stage33_count,left_stage231_count,left_stage21_count,left_stage31_count,left_stage32_count,progressing_stage1_exit_count,param_init_new_trainees,param_stage1_drop_out_progressing,param_stage1_capacity_progressing,param_stage1_time_progressing,param_stage2_drop_out_progressing,param_stage2_capacity_progressing,param_stage2_time_progressing,left_Stage.INIT_count,left_Stage.STAGE1_count
36,36,11.0,333.0,18.0,2.0,5.2,0.6,1.8,0.2,0.0,0.4,2.0,0.2,1.2,0.2,1.6,1.0,1.2,0.2,0.2,0.8,1.0,0.4,0.6,33.6,28.8,6.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
37,37,11.0,342.0,16.6,3.2,3.4,0.4,2.4,0.0,0.2,0.4,2.2,0.2,1.2,0.2,1.0,0.6,2.2,0.2,0.2,0.8,1.0,0.0,0.4,33.6,29.4,6.8,1.6,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
38,38,11.0,351.0,16.0,2.6,4.6,0.4,1.8,0.0,0.2,0.6,1.8,0.0,1.2,0.2,1.0,1.0,1.0,0.2,0.2,1.8,1.0,0.2,0.4,34.2,29.4,6.8,0.8,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
39,39,11.0,360.0,16.0,1.6,5.6,0.4,1.6,0.0,0.2,0.0,2.2,0.0,1.2,0.0,1.2,1.0,1.0,0.4,0.2,0.4,1.8,0.4,0.2,34.2,29.4,6.8,0.2,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.2,1.8,11,0.1,2,9,0.2,2,6,0,0
40,40,11.0,369.0,15.8,1.4,5.8,0.0,1.6,0.0,0.0,0.0,1.8,0.0,1.0,0.2,0.6,0.6,2.0,0.0,0.6,0.4,1.8,0.4,0.2,34.2,30.0,6.8,0.4,1.2,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
41,41,11.0,378.0,16.2,0.8,6.4,0.0,1.6,0.0,0.0,0.2,1.4,0.0,1.0,0.0,0.8,1.4,1.0,0.2,0.6,1.2,1.8,0.0,0.4,34.2,30.0,6.8,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
42,42,11.0,387.0,16.8,0.8,6.6,0.4,1.4,0.0,0.0,0.2,1.4,0.0,0.4,0.6,0.6,0.6,1.4,0.4,0.4,0.4,1.2,0.4,0.4,34.2,30.2,7.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
43,43,11.0,396.0,17.0,1.4,7.4,0.0,1.8,0.0,0.0,0.0,1.2,0.0,0.2,0.6,0.6,1.0,1.4,0.4,0.4,0.4,1.2,0.0,0.4,34.2,30.2,7.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
44,44,11.0,405.0,17.2,0.8,7.4,0.4,1.6,0.2,0.0,0.2,1.0,0.2,0.0,0.2,1.2,1.0,1.0,0.0,0.8,1.0,0.4,0.4,0.4,34.8,30.2,7.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
45,45,11.0,414.0,17.6,2.2,5.6,0.6,1.6,0.2,0.0,0.8,0.4,0.4,0.0,0.0,1.2,1.2,1.0,0.0,0.8,1.0,0.4,0.0,0.4,35.6,30.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
46,46,11.0,423.0,17.8,3.4,4.4,0.4,2.2,0.0,0.2,1.0,0.4,0.2,0.4,0.0,1.2,0.6,1.2,0.0,0.4,0.4,1.0,0.6,0.4,36.0,30.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,11,0.1,2,9,0.2,2,6,0,0
47,47,11.0,432.0,17.8,3.4,5.0,0.6,1.8,0.0,0.2,0.6,1.2,0.4,0.4,0.0,0.8,0.6,1.2,0.0,0.4,0.4,1.0,0.0,0.6,36.8,30.6,7.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
48,48,11.0,441.0,18.0,2.6,6.2,1.0,1.8,0.0,0.2,0.2,1.4,0.2,0.8,0.0,0.8,0.6,0.6,0.0,0.4,1.0,0.4,0.2,0.6,36.8,30.6,7.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
49,49,11.0,450.0,16.6,3.8,4.0,0.0,2.8,0.0,0.0,0.0,1.2,0.2,0.8,0.0,0.8,0.8,1.2,0.0,0.4,1.0,0.4,0.0,0.2,36.8,30.6,7.4,1.4,2.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
50,50,11.0,459.0,15.8,3.0,4.6,0.2,2.0,0.2,0.0,0.2,1.0,0.0,1.0,0.0,0.8,1.6,0.6,0.2,0.0,1.2,0.4,0.2,0.2,37.4,30.6,7.8,0.8,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
51,51,11.0,468.0,16.2,1.8,6.0,0.2,1.8,0.2,0.0,0.0,1.2,0.0,1.0,0.0,0.8,0.4,1.6,0.2,0.0,0.2,1.2,0.4,0.2,37.4,30.6,7.8,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,11,0.1,2,9,0.2,2,6,0,0
52,52,11.0,477.0,16.2,1.8,6.6,0.0,2.0,0.0,0.2,0.0,0.8,0.0,0.6,0.4,0.2,0.6,2.0,0.0,0.2,0.2,1.2,0.4,0.2,37.4,31.0,7.8,0.2,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
53,53,11.0,486.0,16.6,1.6,7.0,0.0,1.8,0.0,0.2,0.0,0.8,0.6,0.6,0.0,0.4,1.0,0.4,0.2,0.2,1.0,1.2,0.6,0.4,37.6,31.2,7.8,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
54,54,11.0,495.0,16.6,1.2,7.2,0.2,1.8,0.0,0.2,0.2,0.6,0.0,1.0,0.2,0.4,1.0,1.0,0.2,0.2,0.2,1.0,0.8,0.4,38.4,31.2,7.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,2.0,11,0.1,2,9,0.2,2,6,0,0
55,55,11.0,504.0,17.4,1.0,8.4,0.0,1.8,0.0,0.0,0.0,0.8,0.0,0.8,0.4,0.4,1.2,1.0,0.2,0.2,0.2,1.0,0.0,0.8,38.4,31.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.2,11,0.1,2,9,0.2,2,6,0,0
56,56,11.0,513.0,17.4,1.6,8.0,0.0,1.6,0.0,0.0,0.4,0.6,0.4,0.6,0.2,0.6,0.4,1.2,0.2,0.4,0.2,0.2,0.6,0.6,39.2,31.2,7.8,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
57,57,11.0,522.0,17.6,2.6,6.2,0.2,1.6,0.0,0.0,1.0,0.6,1.2,0.6,0.0,0.8,1.2,1.2,0.2,0.4,0.2,0.0,0.0,0.6,39.4,31.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,11,0.1,2,9,0.2,2,6,0,0
58,58,11.0,531.0,17.8,3.6,5.0,0.2,1.8,0.0,0.0,1.4,0.4,0.2,1.8,0.0,0.8,0.8,1.2,0.2,0.2,0.6,0.2,0.6,0.6,39.8,31.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
59,59,11.0,540.0,18.0,2.8,5.6,0.6,1.4,0.0,0.0,0.4,1.8,0.4,1.8,0.0,0.8,1.4,1.2,0.2,0.2,0.6,0.2,0.0,0.6,40.6,31.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
60,60,11.0,549.0,18.0,2.0,6.2,1.0,1.4,0.0,0.0,0.6,2.0,0.4,1.6,0.6,0.8,0.8,1.4,0.2,0.4,1.0,0.6,0.0,0.4,40.6,31.2,8.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
61,61,11.0,558.0,16.8,3.4,4.4,0.0,2.4,0.0,0.0,0.4,2.2,0.0,2.0,0.0,1.2,0.4,2.2,0.2,0.4,1.0,0.6,0.0,0.0,41.2,31.4,8.0,1.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
62,62,11.0,567.0,15.8,2.2,4.8,0.4,1.4,0.0,0.0,0.6,2.0,0.0,2.0,0.0,1.2,1.0,0.8,0.2,0.2,2.0,0.6,0.4,0.0,42.2,31.4,8.2,1.6,0.8,0.2,0.0,0.0,0.0,0.2,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
63,63,11.0,576.0,16.2,1.6,5.8,0.4,1.4,0.0,0.0,0.0,2.2,0.0,2.0,0.0,1.0,0.6,1.0,0.4,0.2,0.2,2.0,0.4,0.4,42.2,31.4,8.2,0.0,0.6,0.4,0.0,0.0,0.2,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
64,64,11.0,585.0,16.4,1.2,6.8,0.0,1.8,0.0,0.0,0.0,1.6,0.0,0.8,1.2,0.6,0.8,1.6,0.0,0.6,0.2,2.0,0.4,0.4,42.2,31.8,8.2,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
65,65,11.0,594.0,17.0,1.0,6.4,0.0,1.6,0.2,0.0,0.4,1.4,0.2,0.8,0.0,1.6,1.2,0.6,0.0,0.6,1.2,2.0,0.0,0.4,42.6,31.8,8.2,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.4,11,0.1,2,9,0.2,2,6,0,0
66,66,11.0,603.0,17.0,1.0,5.8,0.0,1.6,0.2,0.0,0.2,1.0,0.6,0.6,0.4,1.6,1.0,1.2,0.0,0.4,0.2,1.2,0.4,0.4,42.6,31.8,8.4,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
67,67,11.0,612.0,17.4,1.0,6.8,0.0,1.6,0.0,0.2,0.0,1.0,0.0,0.8,0.8,1.4,1.6,1.2,0.0,0.4,0.2,1.2,0.0,0.4,42.6,31.8,8.4,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
68,68,11.0,621.0,17.8,1.0,6.8,0.2,1.4,0.0,0.2,0.6,0.8,0.0,0.8,0.0,2.2,0.6,1.6,0.2,0.4,0.8,0.2,0.2,0.4,43.0,31.8,8.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11,0.1,2,9,0.2,2,6,0,0
69,69,11.0,630.0,17.8,2.2,5.2,0.2,1.2,0.0,0.2,1.2,0.4,0.4,0.8,0.0,1.8,1.4,1.6,0.2,0.4,0.8,0.2,0.0,0.2,43.6,32.2,8.4,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,2.0,11,0.1,2,9,0.2,2,6,0,0
70,70,11.0,639.0,18.0,3.6,4.2,0.4,1.4,0.0,0.0,1.6,0.4,0.2,1.2,0.0,1.8,0.4,1.4,0.2,0.0,1.2,0.8,0.4,0.2,43.6,32.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,11,0.1,2,9,0.2,2,6,0,0
